Id,Label,timeset
0,ACT,
1,ADA,
2,AE,
3,AST,
4,BAT,
5,BCHABC,
6,BCHSV,
7,BTC,
8,BTG,
9,BTM,
10,CMT,
11,CVC,
12,DASH,
13,DCR,
14,ELF,
15,EOS,
16,ETC,
17,ETH,
18,GNX,
19,GTO,
20,HC,
21,HIT,
22,ICX,
23,INS,
24,IOST,
25,IOTA,
26,KAN,
27,KNC,
28,LBA,
29,LTC,
30,MANA,
31,MITH,
32,NANO,
33,NAS,
34,NEO,
35,OMG,
36,ONT,
37,OST,
38,PAX,
39,POLY,
40,POWR,
41,QTUM,
42,SALT,
43,THETA,
44,TNB,
45,TNT,
46,TOPC,
47,TRX,
48,USDT,
49,VEN,
50,VET,
51,WAVES,
52,WTC,
53,XEM,
54,XLM,
55,XMR,
56,XRP,
57,XVG,
58,XZC,
59,ZEC,
60,ZEN,
61,ZIL,
62,ZRX,
